2026-05-21 10:20:45.501 INFO   Freerouting v2.2.4 (build-date: 2026-05-13)
2026-05-21 10:20:45.582 WARN   Couldn't get screen resolution. If you are running in a headless environment, disable the GUI by setting gui.enabled to false.
2026-05-21 10:20:46.882 WARN   Shape.read_circle_scope: layer with name 'In1.Cu' not found in layer structure.
2026-05-21 10:20:46.883 WARN   Circle.read_circle_scope: layer with name 'In1.Cu' not found in layer structure at ''
2026-05-21 10:20:46.883 WARN   Shape.read_area_scope: could not read shape at ''
2026-05-21 10:20:46.883 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.883 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.884 WARN   Shape.read_circle_scope: layer with name 'In2.Cu' not found in layer structure.
2026-05-21 10:20:46.884 WARN   Circle.read_circle_scope: layer with name 'In2.Cu' not found in layer structure at ''
2026-05-21 10:20:46.884 WARN   Shape.read_area_scope: could not read shape at ''
2026-05-21 10:20:46.884 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.884 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.885 WARN   Shape.read_circle_scope: layer with name 'In3.Cu' not found in layer structure.
2026-05-21 10:20:46.885 WARN   Circle.read_circle_scope: layer with name 'In3.Cu' not found in layer structure at ''
2026-05-21 10:20:46.890 WARN   Shape.read_area_scope: could not read shape at ''
2026-05-21 10:20:46.890 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.890 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.890 WARN   Shape.read_circle_scope: layer with name 'In4.Cu' not found in layer structure.
2026-05-21 10:20:46.891 WARN   Circle.read_circle_scope: layer with name 'In4.Cu' not found in layer structure at ''
2026-05-21 10:20:46.891 WARN   Shape.read_area_scope: could not read shape at ''
2026-05-21 10:20:46.891 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.891 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.891 WARN   Shape.read_circle_scope: layer with name 'In1.Cu' not found in layer structure.
2026-05-21 10:20:46.892 WARN   Circle.read_circle_scope: layer with name 'In1.Cu' not found in layer structure at ''
2026-05-21 10:20:46.892 WARN   Shape.read_area_scope: could not read shape at ''
2026-05-21 10:20:46.892 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.892 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.892 WARN   Shape.read_circle_scope: layer with name 'In2.Cu' not found in layer structure.
2026-05-21 10:20:46.893 WARN   Circle.read_circle_scope: layer with name 'In2.Cu' not found in layer structure at ''
2026-05-21 10:20:46.893 WARN   Shape.read_area_scope: could not read shape at ''
2026-05-21 10:20:46.893 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.893 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.897 WARN   Shape.read_circle_scope: layer with name 'In3.Cu' not found in layer structure.
2026-05-21 10:20:46.898 WARN   Circle.read_circle_scope: layer with name 'In3.Cu' not found in layer structure at ''
2026-05-21 10:20:46.898 WARN   Shape.read_area_scope: could not read shape at ''
2026-05-21 10:20:46.898 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.898 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.899 WARN   Shape.read_circle_scope: layer with name 'In4.Cu' not found in layer structure.
2026-05-21 10:20:46.899 WARN   Circle.read_circle_scope: layer with name 'In4.Cu' not found in layer structure at ''
2026-05-21 10:20:46.899 WARN   Shape.read_area_scope: could not read shape at ''
2026-05-21 10:20:46.899 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:46.899 ERROR  Package.read_scope: could not read keepout area of package 'Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12'
2026-05-21 10:20:47.082 WARN   Analytics tracking: first delivery failure in this window - /v1/analytics/identify - IOException: Server returned HTTP response code: 501 for URL: https://api.freerouting.app/v1/analytics/identify | Server response: {"error":"The operation is not implemented."}. Further failures will be aggregated and reported every 60 minutes.
2026-05-21 10:20:47.284 INFO   New version available: v2.2.4
2026-05-21 10:20:47.420 INFO   [99D1B2\211B0E] Job '99D1B2\211B0E' started at 2026-05-21T04:50:47.419970664Z.
2026-05-21 10:21:28.060 INFO   [99D1B2\211B0E] Auto-router pass #1 on board 'a011d44771f35c419ac301930d8934ac' was completed in 40.16 seconds with the score of 649.23 (48 unrouted), using 32.64 CPU seconds and the job allocated 4.83 GB of memory so far.
2026-05-21 10:21:56.090 INFO   [99D1B2\211B0E] Auto-router pass #2 on board 'f9e1a3a7918ae87fdcf9e9ec9fb5014c' was completed in 27.95 seconds with the score of 877.24 (24 unrouted), using 57.44 CPU seconds and the job allocated 10.27 GB of memory so far.
2026-05-21 10:22:19.994 INFO   [99D1B2\211B0E] Auto-router pass #3 on board 'ae0c42c418899691f1953c2d57230414' was completed in 23.82 seconds with the score of 896.54 (21 unrouted), using 80.12 CPU seconds and the job allocated 15.72 GB of memory so far.
2026-05-21 10:22:47.161 INFO   [99D1B2\211B0E] Auto-router pass #4 on board 'e81a59f152c31c9a72304fada1b2c1e4' was completed in 27.11 seconds with the score of 906.09 (19 unrouted), using 106.15 CPU seconds and the job allocated 22.85 GB of memory so far.
2026-05-21 10:23:06.847 INFO   [99D1B2\211B0E] Auto-router pass #5 on board 'b9eb3287aa2b367f0f45a1a8ab0f93c0' was completed in 19.62 seconds with the score of 955.85 (10 unrouted), using 125.52 CPU seconds and the job allocated 28.43 GB of memory so far.
2026-05-21 10:23:19.329 INFO   [99D1B2\211B0E] Auto-router pass #6 on board '033bec5264f6d1f8454274e8e65dea58' was completed in 12.43 seconds with the score of 963.72 (8 unrouted), using 137.23 CPU seconds and the job allocated 32.33 GB of memory so far.
